Date,AAPL,AMD,NVDA,TSM,AAPL_weight,NVDA_weight,AMD_weight,AAPL_corr,NVDA_corr,AMD_corr,Signal,TSM_MA_50,TSM_MA_200,Trend,Volatility,Vol_Adj,Position_Raw,Position_Size,Position,Position_Change,TSM_Returns,Portfolio_Value,Buy_Hold_Value,Cash,Holdings,Transaction_Costs,Strategy_Returns,Strategy_Cumulative,TSM_Cumulative
2019-05-16,45.55202865600586,28.010000228881836,3.9755237102508545,35.52253723144531,0.3731117713397942,0.2900376720029917,0.33685055665721414,0.9353544428468985,0.7270958622581405,0.8444511509604358,-0.013180998702278013,35.91257095336914,34.147221908569335,1,0.015139755119480017,1.0,0,0.5272399480911205,0.0,0.0,-0.010483622965316686,89958.0777352657,211656.70910209435,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.1165670910209435
2019-05-17,45.2932243347168,27.5,3.8846917152404785,34.42768096923828,0.3763196953510442,0.28998286378775473,0.33369744086120107,0.9342786197229997,0.7199325282994237,0.8284615137192691,-0.010640410139132646,35.94028411865234,34.14311618804932,1,0.01504265605232576,1.0,0,0.42561640556530583,0.0,0.0,-0.03082145442127482,89958.0777352657,205133.14148954712,100000.0,0.0,0.0,-0.0,0.8995807773526571,2.051331414895471
2019-05-20,43.87689971923828,26.68000030517578,3.7660634517669678,33.06768035888672,0.3787286218055323,0.2939783251323053,0.3272930530621623,0.933767214419944,0.724812718008902,0.8069512174703821,-0.025135275734906985,35.94815307617188,34.130072135925296,1,0.016813264299651447,1.0,0,1.0,0.0,0.0,-0.039503114123973226,89958.0777352657,197029.7435906764,100000.0,0.0,0.0,-0.0,0.8995807773526571,1.970297435906764
2019-05-21,44.71807098388672,27.350000381469727,3.8482096195220947,33.61510467529297,0.38176952507221,0.2970183501346233,0.3212121247931668,0.9335970893576634,0.7263425940534423,0.7855071845154995,-0.06730051419075311,35.95944351196289,34.120449466705324,1,0.01741797382777584,1.0,0,1.0,0.0,0.0,0.01655466335905631,89958.0777352657,200291.50466754124,100000.0,0.0,0.0,0.0,0.8995807773526571,2.0029150466754126
2019-05-22,43.8026123046875,27.40999984741211,3.777231454849243,33.272972106933594,0.38610889678206184,0.3011073241112819,0.3127837791066563,0.936287319467547,0.730164395883705,0.7584789901331956,-0.05373008690404028,35.95944351196289,34.10851737976074,1,0.017354242394890838,1.0,0,1.0,0.0,0.0,-0.0101779414838723,89958.0777352657,198252.9494533183,100000.0,0.0,0.0,-0.0,0.8995807773526571,1.9825294945331828
2019-05-23,43.05491638183594,26.360000610351562,3.656121253967285,32.56303787231445,0.3887090523795702,0.30586494333739467,0.305426004283035,0.9386609575138891,0.7386076522412883,0.7375476950560023,-0.06716692024183293,35.93994163513184,34.095687255859374,1,0.01738882439543298,1.0,0,1.0,0.0,0.0,-0.021336664255225957,89958.0777352657,194022.89283322456,100000.0,0.0,0.0,-0.0,0.8995807773526571,1.9402289283322456
2019-05-24,42.88955307006836,26.440000534057617,3.6022677421569824,32.674232482910156,0.3921799612899021,0.30977019979172293,0.2980498389183749,0.9419648937651137,0.7440274418373793,0.7158766703174874,-0.07916317237169121,35.92933547973633,34.08268606185913,1,0.01752265422176293,1.0,0,1.0,0.0,0.0,0.003414749294329278,89958.0777352657,194685.43236961053,100000.0,0.0,0.0,0.0,0.8995807773526571,1.9468543236961053
2019-05-28,42.71222686767578,29.049999237060547,3.5570995807647705,32.20378875732422,0.4036317933329321,0.32189767757237514,0.2744705290946928,0.9459095776486217,0.7543659871892325,0.6432206445115333,-0.07664608583616071,35.89512161254883,34.06421056747436,1,0.017569965000851354,1.0,0,1.0,0.0,0.0,-0.014398003865339404,89958.0777352657,191882.3507618276,100000.0,0.0,0.0,-0.0,0.8995807773526571,1.918823507618276
2019-05-29,42.508522033691406,28.09000015258789,3.4828946590423584,32.23801040649414,0.411639463911572,0.3309699395262306,0.2573905965621973,0.9490491021819664,0.763062707768138,0.5934229732402656,-0.06187385697214874,35.85817085266113,34.04646213531494,1,0.017600126006184477,1.0,0,1.0,0.0,0.0,0.0010626590997662166,89958.0777352657,192086.2562879492,100000.0,0.0,0.0,0.0,0.8995807773526571,1.920862562879492
2019-05-30,42.72900390625,28.030000686645508,3.456310510635376,32.537376403808594,0.4193887678317568,0.3383383469239619,0.24227288524428123,0.9522149590585699,0.768191377250684,0.5500764045174225,-0.07783350428633558,35.828746948242184,34.03367471694946,1,0.01792394816223419,1.0,0,1.0,0.0,0.0,0.009286118886981498,89958.0777352657,193869.99210039427,100000.0,0.0,0.0,0.0,0.8995807773526571,1.9386999210039426
